Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GRASO_121	3.4	49944235	6285764	49944235	4638416378	146666768	4477909470	3.46038162423891
GRASO_122	3.4	58121097	7865344	58121097	5568270531	90561387	5463157976	1.8877056065220117
GRASO_123	3.4	70077955	11301495	70077955	6194087726	351628305	5816164288	6.101357531854886
GRASO_124	3.4	31489075	4205508	31489075	2908482898	37229970	2862316475	1.5873025429080585
GRASO_125	3.4	54894025	7862785	54894025	5352163710	40358914	5298968646	0.9938982976288668
GRASO_126	3.4	51694174	8627931	51694174	4963004390	69156416	4880511973	1.6621467667087837
GRASO_127	3.4	62077418	8884649	62077418	6060329555	34001891	6012228259	0.7937075956589625
GRASO_128	3.4	53261068	8394326	53261068	5201419797	19566498	5169476803	0.6141206679457717
GRASO_129	3.4	40274833	4963908	40274833	3440157779	120595625	3306608551	3.8820669451626335
GRASO_130	3.4	50856397	6758175	50856397	4782772082	109775846	4659449067	2.5784840440991768
GRASO_131	3.4	47397940	7057959	47397940	4586163991	41713774	4533121004	1.1565872285442222
GRASO_132	3.4	36333466	5097836	36333466	3472794430	47072571	3416769979	1.6132383338336558
GRASO_133	3.4	43989591	6333982	43989591	4199822891	70451685	4118157698	1.9444913540283857
GRASO_134	3.4	34995483	3759477	34995483	3078632266	157127501	2910203712	5.470889000290884
GRASO_135	3.4	31029460	4008640	31029460	2971027308	17834175	2945895055	0.8459112082991329
GRASO_136	3.4	39945899	6094642	39945899	3816855371	42380404	3764313586	1.3765725942671565
GRASO_137	3.4	32657180	3557008	32657180	2757349826	55996067	2690027050	2.4415754346869734
GRASO_138	3.4	47651792	6380398	47651792	4429255397	128406084	4287681397	3.196338601198977
GRASO_139	3.4	33690621	4347689	33690621	3075552027	117391815	2947924206	4.149753276145765
GRASO_140	3.4	54971357	8337606	54971357	5245921258	76339538	5155172353	1.729894532092117
GRASO_141	3.4	44171169	7079212	44171169	4194264963	66398644	4115680566	1.8736154652421275
GRASO_142	3.4	49117199	7107331	49117199	4690849090	64651648	4613395591	1.651161602387
GRASO_143	3.4	45391388	5263837	45391388	3778346506	302153393	3458992797	8.45220808871996
GRASO_144	3.4	56912512	3842693	56912512	4337796697	82094552	4229700371	2.491963859780679
GRASO_145	3.4	184326472	26553403	184326472	17997531189	111670260	17842691317	0.8603395119806062
GRASO_146	3.4	50656518	6095176	50656518	4790111070	51062047	4726522640	1.327493852872184
GRASO_147	3.4	33856805	4251575	33856805	3189961620	41814644	3138468184	1.614233716078377
GRASO_148	3.4	43858758	5812049	43858758	4125079343	66964896	4044613631	1.9506464072392995
GRASO_149	3.4	29227367	3854255	29227367	2804255170	29724989	2767112380	1.3245153435876522
GRASO_150	3.4	63458099	8478482	63458099	6106334783	63300763	6027310441	1.2941370692613072
GRASO_151	3.4	44649880	5848908	44649880	4293600955	35522753	4247120278	1.0825569839198064
GRASO_152	3.4	57849346	7068049	57849346	5506502911	86520008	5405376912	1.8364831660760017
GRASO_153	3.4	48031193	6983067	48031193	4646423664	39711602	4595016438	1.1063826658403486
GRASO_154	3.4	12273860	1576182	12273860	1140763681	14738680	1122638943	1.5888249513792154
GRASO_155	3.4	70500954	10836497	70500954	6871577370	43224967	6810858642	0.8836213976879081
GRASO_156	3.4	28531063	3677330	28531063	2498362035	35008947	2453988890	1.7760894689548068
GRASO_157	3.4	39034064	4876043	39034064	3614277165	59401825	3541903782	2.0024303531796237
GRASO_158	3.4	31559807	4829292	31559807	3066393344	33489593	3024727832	1.358779103846111
GRASO_159	3.4	70304053	10058091	70304053	6885850881	38232479	6831526560	0.7889267708351931
GRASO_160	3.4	50763120	6756056	50763120	4887071670	59919418	4815129399	1.4720936351645524
GRASO_161	3.4	36818571	4473317	36818571	3377953617	73318882	3292037466	2.5434378544339853
GRASO_162	3.4	52498914	7201819	52498914	5102698425	32228811	5057387339	0.8879828323383623
GRASO_163	3.4	36767226	5010287	36767226	3494182572	34564997	3448906908	1.2957440851204614
GRASO_164	3.4	31128683	4047160	31128683	2937080536	32500945	2895182012	1.4265364359760273
GRASO_165	3.4	47906116	6250650	47906116	4582589107	21082861	4548516050	0.7435328851097014
GRASO_166	3.4	37719821	4783701	37719821	3575025715	41820378	3522321909	1.4742217315771113
GRASO_167	3.4	35435691	3979906	35435691	3073713247	157876048	2902649209	5.565387017379114
GRASO_168	3.4	39480039	5919499	39480039	3815535782	29922367	3775363066	1.0528722123251208
GRASO_169	3.4	41618560	6479881	41618560	3729275455	116987702	3599186073	3.488328592772185
GRASO_170	3.4	38811985	5450366	38811985	3811224616	12394998	3790132742	0.5534146140705972
GRASO_171	3.4	42266454	5536797	42266454	4102513761	19467975	4073219120	0.714065636500372
GRASO_172	3.4	29814523	3354164	29814523	2611258922	49575086	2550991390	2.3079875952645956
GRASO_173	3.4	22957170	2956152	22957170	2137068411	15907305	2114492357	1.0564029622915052
GRASO_174	3.4	22898751	8374628	22898751	2265142018	6210800	2246684755	0.8148391073640842
GRASO_175	3.4	29125451	4079247	29125451	2803767873	14653450	2781969828	0.7774554095548694
GRASO_176	3.4	27061685	8879307	27061685	2668490445	8427384	2646951805	0.807146978560757
GRASO_177	3.4	21858898	3367542	21858898	2156095193	5291347	2145638918	0.48496351338973553
GRASO_178	3.4	36985616	5051267	36985616	3644764606	7380047	3629320226	0.42374149415782597
GRASO_179	3.4	50962233	6871256	50962233	4994634429	15559065	4967689758	0.5394723354236503
GRASO_180	3.4	38748460	5422764	38748460	3770071486	12682395	3748366811	0.5757099057829378
HIGADO_01	3.4	27287608	3517582	27287608	2660766439	14233672	2640782856	0.7510461161525497
HIGADO_02	3.4	40994519	5397475	40994519	4009591330	21044462	3980051767	0.7367225377554875
HIGADO_03	3.4	35323357	4636799	35323357	3461162904	18547760	3435265056	0.7482412333169973
HIGADO_04	3.4	32894442	4318141	32894442	3214392086	19021359	3188501224	0.8054668287905933
HIGADO_05	3.4	32305435	4201620	32305435	3182495201	10521227	3165345652	0.53887116607784
HIGADO_06	3.4	36206484	4581664	36206484	3537112048	17210090	3512441691	0.6974717415002285
HIGADO_07	3.4	51460285	6589866	51460285	5040787421	21738886	5008617101	0.6382002912080351
HIGADO_08	3.4	39894440	5135179	39894440	3912156916	17461301	3886716121	0.6503009860353975
HIGADO_09	3.4	30854520	4355096	30854520	3019392591	11345162	3001457291	0.5940035771916617
HIGADO_10	3.4	38787458	5212705	38787458	3787083209	18044418	3761178005	0.6840410566748654
HIGADO_11	3.4	45022641	6299992	45022641	4401639146	29660934	4362179625	0.8964733293927316
HIGADO_12	3.4	42177664	5978703	42177664	4129539330	23971425	4096497335	0.8001375543261867
HIGADO_13	3.4	58916690	7770024	58916690	5786953896	19441337	5755784844	0.5386089566316462
HIGADO_14	3.4	55071296	8098472	55071296	5413782777	15532712	5386498210	0.5039834090853476
HIGADO_15	3.4	54342654	7760107	54342654	5334485518	18406840	5304539207	0.5613720554485158
HIGADO_16	3.4	34080456	4510383	34080456	3351249527	9601690	3334930475	0.486954250005031
HIGADO_17	3.4	48856406	6369179	48856406	4789066254	11170114	4768103413	0.4377229273554335
HIGADO_18	3.4	62272034	7967801	62272034	6127495109	16794703	6098930601	0.4661694133063403
HIGADO_19	3.4	46087521	6130908	46087521	4529802646	17168869	4503209777	0.5870646268327514
HIGADO_20	3.4	31240007	4469099	31240007	3068188032	13465873	3047991695	0.6582496505872557
HIGADO_21	3.4	73931477	10073598	73931477	7237667697	25049791	7197315545	0.557529769109542
HIGADO_22	3.4	21310345	2839944	21310345	2083757355	6535903	2072852628	0.5233203843928363
HIGADO_23	3.4	45907614	6315600	45907614	4523564954	12333875	4501955652	0.47770513344550947
HIGADO_24	3.4	48263175	7021407	48263175	4745829534	13174184	4722385780	0.49398643234116635
HIGADO_25	3.4	19546999	2560309	19546999	1929991125	3693362	1922309407	0.3980183069494685
HIGADO_26	3.4	27529970	3705389	27529970	2716955400	5857330	2705451487	0.42341191909149484
HIGADO_27	3.4	40587078	5371195	40587078	4010299865	6913809	3995053513	0.38017984971804597
HIGADO_28	3.4	25241993	3386121	25241993	2492890020	4790806	2482901685	0.4006729105522273
HIGADO_29	3.4	27097781	3728532	27097781	2670125318	5206333	2659359154	0.4032081912943383
HIGADO_30	3.4	34173976	4691292	34173976	3373615642	6332335	3360347340	0.39329619636616564
HIGADO_31	3.4	25992128	3464423	25992128	2566663734	4788915	2556681644	0.38891304177362873
HIGADO_32	3.4	26272832	3527531	26272832	2594431268	5690945	2583322504	0.4281772324060658
HIGADO_33	3.4	32171811	4206544	32171811	3164841466	6544611	3151947073	0.40742618985895196
HIGADO_34	3.4	58709275	7340751	58709275	5767103857	11253082	5744576388	0.39062013722289035
HIGADO_35	3.4	29647719	3788221	29647719	2894366415	8098572	2880427273	0.48159562409792545
HIGADO_36	3.4	37380736	4941292	37380736	3678393307	7558741	3663426796	0.4068763112285643
HIGADO_37	3.4	28227653	3659074	28227653	2770128809	5988104	2758427419	0.4224132091613506
HIGADO_38	3.4	27513780	3565835	27513780	2701493738	6108254	2689862771	0.43053836610447843
HIGADO_39	3.4	34064758	4533221	34064758	3355742164	7597291	3341299936	0.4303735893339629
HIGADO_40	3.4	29862282	3899917	29862282	2939581338	7373294	2926332303	0.45071163123569946
HIGADO_41	3.4	47891460	6302614	47891460	4712686646	14139184	4689164329	0.4991275416107944
HIGADO_42	3.4	45081108	6014955	45081108	4422636729	14289700	4399039942	0.5335456752590996
HIGADO_43	3.4	43116113	5448301	43116113	4224777792	13928558	4202014220	0.5388111072517208
HIGADO_44	3.4	30336414	3815039	30336414	2971392211	9709185	2955526929	0.533934293199909
HIGADO_45	3.4	40736024	5349864	40736024	3992300887	10306024	3973843056	0.46233566863919595
HIGADO_46	3.4	28156357	3973642	28156357	2778422254	5312420	2767277162	0.401130245194185
HIGADO_47	3.4	25795807	3351411	25795807	2536627100	4755089	2527001223	0.3794754459573502
HIGADO_48	3.4	33870273	4566381	33870273	3334869654	8724974	3319734781	0.4538370182428726
HIGADO_49	3.4	53779034	7927354	53779034	5299407764	12835739	5275200844	0.4567853820278322
HIGADO_50	3.4	32333409	4412267	32333409	3172642210	11161364	3154842671	0.5610320301449939
HIGADO_51	3.4	30366162	4050482	30366162	2980430413	10650559	2963669852	0.56235370995055
HIGADO_52	3.4	41688213	5575829	41688213	4087213421	17569912	4061196670	0.6365400658141948
HIGADO_53	3.4	28085547	4076205	28085547	2759095860	9962747	2743168468	0.5772685259293601
HIGADO_54	3.4	31808159	4046803	31808159	3111501032	9864498	3095145886	0.5256352426625196
HIGADO_55	3.4	28280631	3969696	28280631	2779476710	11360244	2762227677	0.6205856281486886
HIGADO_56	3.4	26546849	3482480	26546849	2598922545	13238039	2580279310	0.7173447718119664
HIGADO_57	3.4	39562548	5178812	39562548	3878890814	18018297	3853230783	0.6615301185428005
HIGADO_58	3.4	31662377	3792757	31662377	3065271630	31610843	3026992401	1.2488038131876749
HIGADO_59	3.4	30816166	3970197	30816166	3012552565	13530236	2992660290	0.6603129595516286
HIGADO_60	3.4	32940397	4067174	32940397	3225405298	18008107	3201111758	0.7531934053392877
MUSCULO_100	3.4	79203863	9609093	79203863	7659746432	30100781	7613505565	0.6036866547803759
MUSCULO_101	3.4	41627976	5365084	41627976	4084173011	9492344	4066065307	0.44336280444609205
MUSCULO_102	3.4	21052005	2692078	21052005	2058840965	4927080	2049611523	0.44828338647322374
MUSCULO_103	3.4	24999630	3135134	24999630	2418392692	8567431	2404748196	0.5641968752690889
MUSCULO_104	3.4	35117630	4495413	35117630	3419212112	6405162	3405537649	0.39993023398602184
MUSCULO_105	3.4	33768595	4307335	33768595	3250356022	8078437	3235167079	0.4673009017225745
MUSCULO_106	3.4	26444515	3245677	26444515	2524171607	9945936	2508614979	0.6163062747738133
MUSCULO_107	3.4	35430380	4519256	35430380	3398374784	19464185	3370847630	0.8100093647587517
MUSCULO_108	3.4	53916177	6606508	53916177	5213163121	19454613	5182574974	0.5867483193990776
MUSCULO_109	3.4	26762621	3447554	26762621	2607247376	7953537	2593635758	0.522068528107323
MUSCULO_110	3.4	27119938	3565664	27119938	2625580601	10392443	2609255975	0.6217529941294687
MUSCULO_111	3.4	25880755	3235967	25880755	2471511320	12740175	2453011511	0.7485221228928055
MUSCULO_112	3.4	33948038	4314232	33948038	3254968705	17154149	3230236725	0.7598223590294089
MUSCULO_113	3.4	34922407	4372080	34922407	3360798365	15123063	3337342283	0.6979318439414915
MUSCULO_114	3.4	33819402	3588860	33819402	3181572484	13067928	3160694081	0.65622905355753
MUSCULO_115	3.4	43166045	5157652	43166045	4139650523	20193297	4110091130	0.7140552767864651
MUSCULO_116	3.4	67050565	8137355	67050565	6444940645	34674349	6396639956	0.7494357459672152
MUSCULO_117	3.4	23949647	2821911	23949647	2301590082	7951093	2288574455	0.5655058692593028
MUSCULO_118	3.4	34886566	4647789	34886566	3405334631	10200865	3387720191	0.5172601787691977
MUSCULO_119	3.4	31360632	3667483	31360632	3016511387	7476656	3002640758	0.4598235252741647
MUSCULO_120	3.4	30637337	4112311	30637337	2982429285	6438572	2969300871	0.4401919625061621
MUSCULO_61	3.4	47363264	6259232	47363264	4609507258	28877421	4570463594	0.8470246777947474
MUSCULO_62	3.4	58128499	7433217	58128499	5679039885	17453284	5649361033	0.5226033379055939
MUSCULO_63	3.4	50014127	6979389	50014127	4899535852	20974894	4867666384	0.650458920246309
MUSCULO_64	3.4	29589832	4128055	29589832	2914005042	7783815	2899952204	0.4822516707230873
MUSCULO_65	3.4	23612956	3193930	23612956	2321500441	7097887	2309356749	0.5230966914987547
